date,station,name,latitude,longitude,anabaena,ankistrodesmus,aphanizomenon,aphanocapsa,aphanothece,asterionella,aulacoseira,carteria,centrales,ceratium,chlamydomonas,chlorella,chlorococcum,chroococcus,closterium,coelastrum,coelosphaerium,cosmarium,crucigenia,cryptomonas,cyclotella,cymbella,diatoma,dictyosphaerium,dimorphococcus,dinobryon,dysmorphococcus,eudorina,euglena,fragilaria,gloeocystis,golenkinia,gonyostomum,gymnodinium,komma,limnothrix,mallomonas,meridion,merismopedia,micractinium,mougeotia,navicula,nitzschia,nostoc,oocystis,pandorina,pennales,peridinium,phacus,placoneis,planktolyngbya,planktothrix,pseudanabaena,quadrigula,scenedesmus,schroederia,selenastrum,sphaerocystis,stephanodiscus,strombomonas,synedra,synura,tabellaria,tetraedron,trachelomonas,treubaria,urosolenia,woronichinia
2022-07-12,10052587,IRON MOUTH,46.77119,-91.48382,0,16,0,0,0,33,123,0,0,0,0,0,0,0,0,0,0,0,0,22,5,0,5,0,0,46,0,0,0,33,0,16,0,0,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,27,0,0,0,0,0,14,0
2022-07-13,10052513,SISKIWIT BAY,46.85905,-91.115295,0,0,0,0,0,111,32,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,349,0,0,0,18,0,12,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,0,18,0,0,0,94,0
2022-07-27,10052513,SISKIWIT BAY,46.85905,-91.115295,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,52,0,0,0,19,0,14,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,19,0,0,0,79,0
2022-07-27,10052587,IRON MOUTH,46.77119,-91.48382,0,0,0,0,0,286,28,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,52,0,0,0,110,0,7,0,0,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,135,0
2022-08-09,10052587,IRON MOUTH,46.77119,-91.48382,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,16,0,0,0,63,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,27,0,0,0,0,0,30,0
2022-08-10,10052513,SISKIWIT BAY,46.85905,-91.115295,0,0,0,0,0,46,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,16,0,0,123,57,8,0,82,0,0,0,0,0,0,49,0,0,0,3,0,0,0,0,11,0,0,0,0,19,3,0,0,0,3,0,35,0
2022-08-22,10052587,IRON MOUTH,46.77119,-91.48382,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,49,0,0,0,14,0,33,0,0,46,60,5,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,3,0,0,0,5,0,0,19,0,0,0,5,0
2022-08-23,10052513,SISKIWIT BAY,46.85905,-91.115295,0,3,0,0,1526,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,11,0,46,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,11,0
2022-09-07,10052513,SISKIWIT BAY,46.85905,-91.115295,0,0,0,0,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,18,0,0,44,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
2022-09-07,10052587,IRON MOUTH,46.77119,-91.48382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,0,0,13,0,0,0,5,0,18,0,0,106,0,0,0,0,0,0,0,0,0,5,31,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-27,10052510,FLAG MOUTH,46.79663,-91.37061,0,8,0,0,0,8,0,0,145,0,0,0,0,0,0,0,0,0,1858,0,0,0,0,0,0,23,0,0,0,0,54,0,0,0,0,317,0,0,0,0,0,0,0,0,617,0,243,21,0,0,0,774,0,0,0,0,0,0,0,0,0,0,0,41,0,0,18,0
2023-06-27,10052587,IRON MOUTH,46.77119,-91.48382,0,6,0,0,0,39,0,0,42,0,0,0,224,0,0,0,0,0,860,0,0,0,0,0,0,151,0,0,0,0,0,3,27,0,91,18,0,0,0,24,0,0,0,0,0,109,118,18,0,0,0,0,0,0,0,0,6,0,0,0,0,154,0,9,33,0,33,0
2023-07-17,10040814,SCHAFFER BEACH,46.68592,-91.929726,85,18,0,836,0,333,0,587,139,0,0,0,0,0,0,151,0,18,388,73,0,0,0,0,0,279,6,0,0,472,48,0,0,0,0,0,12,0,0,0,0,0,0,0,79,0,67,48,0,0,0,0,176,12,6,0,0,0,0,0,0,0,0,18,0,6,24,0
2023-07-17,10052587,IRON MOUTH,46.77119,-91.48382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
