date,latitude,longitude,site,source,chl,chl_field,tss,turb,cond,ph,temp,do,do_sat,doc,poc,toc,tn,tdn,ton,don,pon,no3,nh3,tp,tdp,pp,po4,npr,cnr,cpr,pnpr,pcnr,pcpr,si,cl
2010-01-25,46.659154,-92.283249,MNPCA-S000-021,MNPCA,,,1.2,6.8,209,7.91,,,,,,,,,,,,,,0.021,,,,,,,,,,,13.9
2010-01-25,46.75,-92.1,MNPCA-S003-975,MNPCA,,,1.2,5.1,238,8.44,,,,,,,,,,,,,0.16,0.028,,,,,,,,,,,10.700000000000001
2010-03-01,46.659154,-92.283249,MNPCA-S000-021,MNPCA,,,2.4,20.4,204,7.5,,,,,,,,,,,,,,0.023,,,,,,,,,,,6.23
2010-03-01,46.747955,-92.09997,MNPCA-S000-277,MNPCA,,,1.4000000000000001,7.9,180,7.5,,,,,,,,,,,,,0.07,0.016,,,,,,,,,,,7.68
2010-04-26,46.659154,-92.283249,MNPCA-S000-021,MNPCA,,,4,12.8,193,8.29,,,,,,,,,,,,,,0.027,,,,,,,,,,,7.0200000000000005
2010-04-26,46.747955,-92.09997,MNPCA-S000-277,MNPCA,,,3.2,11,217,8.33,,,,,,,,,,,,,0.16,0.035,,,,,,,,,,,12.9
2010-05-11,46.659154,-92.283249,MNPCA-S000-021,MNPCA,,,3.6,10.6,195,7.02,,,,,,15,,,,,,,,0.025,,,,,,600,,,,,7.38
2010-05-11,46.747955,-92.09997,MNPCA-S000-277,MNPCA,,,2,8.9,221,7.89,,,,,,12,,,,,,,0.1,0.03,,,,,,400,,,,,13.200000000000001
2010-06-03,46.659154,-92.283249,MNPCA-S000-021,MNPCA,,,,,191,8.06,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-07,46.659154,-92.283249,MNPCA-S000-021,MNPCA,,,3.6,8.3,178,7.89,,,,,,,,,,,,,,0.034,,,,,,,,,,,6.22
2010-06-07,46.747955,-92.09997,MNPCA-S000-277,MNPCA,,,2.4,7,211,7.83,,,,,,,,,,,,,0.14,0.035,,,,,,,,,,,12.200000000000001
2010-06-14,46.659154,-92.283249,MNPCA-S000-021,MNPCA,,,,,186,7.92,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-18,46.659147,-92.277815,MNPCA-S004-976,MNPCA,,,5,7.17,193.7,7.81,,,,,,,,,,,,,,0.038,,,,,,,,,,,
2010-06-18,46.661504,-92.285063,MNPCA-S004-971,MNPCA,,,5,6.55,195.7,7.76,,,,,,,,,,,,,,0.052000000000000005,,,,,,,,,,,
2010-06-29,46.659154,-92.283249,MNPCA-S000-021,MNPCA,,,,,195,7.74,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-07,46.659154,-92.283249,MNPCA-S000-021,MNPCA,,,,,162,7.53,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-16,46.659147,-92.277815,MNPCA-S004-976,MNPCA,,,4,6,208.3,7.65,,,,,,,,,,,,,0.05,0.057,,,,,,,,,,,
2010-07-16,46.661504,-92.285063,MNPCA-S004-971,MNPCA,,,4,6.11,210.8,7.64,,,,,,,,,,,,,0.05,0.058,,,,,,,,,,,
2010-07-18,46.659154,-92.283249,MNPCA-S000-021,MNPCA,,,4.4,8.9,202,7.52,,,,,,26,,,,,,,,0.088,,,,,,295.4545454545455,,,,,
2010-07-18,46.747955,-92.09997,MNPCA-S000-277,MNPCA,,,2,7.1,179,7.51,,,,,,13,,,,,,,0.07,0.041,,,,,,317.0731707317073,,,,,
2010-07-20,46.659154,-92.283249,MNPCA-S000-021,MNPCA,,,,,200,7.82,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-28,46.659154,-92.283249,MNPCA-S000-021,MNPCA,,,,,229,7.92,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-30,46.659147,-92.277815,MNPCA-S004-976,MNPCA,,,5,8.84,217.2,7.72,,,,,,,,,,,,,0.14,0.054,,,,,,,,,,,
2010-07-30,46.661504,-92.285063,MNPCA-S004-971,MNPCA,,,5,9.24,217.2,7.77,,,,,,,,,,,,,0.14,0.064,,,,,,,,,,,
2010-08-02,46.7511111,-92.1094444,USGS-464504092063401,USGS-MN,,,,,250,7.5,22.7,12.24,,,,17,,,,,,,,,,,,,,,,,,,
2010-08-03,46.7161111,-92.0388889,USGS-464258092022001,USGS-MN,,,,,170.77777777777777,7.7,20.788888888888888,6.877777777777778,,,,11.3,,,,,,,,,,,,,,,,,,,
2010-08-03,46.7175,-92.0397222,USGS-464303092022301,USGS-MN,,,,,184,8.6,24.85,7.25,,,,14,,,,,,,,,,,,,,,,,,,
2010-08-03,46.73888889,-92.0619444,USGS-464420092034301,USGS-MN,,,,,183,8.4,24.666666666666668,6.8,,,,11.700000000000001,,,,,,,,,,,,,,,,,,,
2010-08-03,46.74027778,-92.0658333,USGS-464425092035701,USGS-MN,,,,,187,8.333333333333334,24.166666666666668,6.566666666666666,,,,11.8,,,,,,,,,,,,,,,,,,,
2010-08-03,46.74277778,-92.0727778,USGS-464434092042201,USGS-MN,,,,,185,8,22.95,7.183333333333334,,,,11.3,,,,,,,,,,,,,,,,,,,
2010-08-03,46.74805556,-92.0841667,USGS-464453092050301,USGS-MN,,,,,193.83333333333334,7.65,22.216666666666665,6.516666666666667,,,,12.1,,,,,,,,,,,,,,,,,,,
2010-08-03,46.7508333,-92.0730556,USGS-464503092042301,USGS-MN,,,,,185,8.280000000000001,22.98,7.6000000000000005,,,,12,,,,,,,,,,,,,,,,,,,
2010-08-04,46.75166667,-92.1155556,USGS-464506092065601,USGS-MN,,,,,218,7.9,24,7.583333333333334,,,,17,,,,,,,,,,,,,,,,,,,
2010-08-04,46.7694444,-92.0925,USGS-464610092053301,USGS-MN,,,,,178.66666666666666,8,21.71666666666667,8.5,,,,10.1,,,,,,,,,,,,,,,,,,,
2010-08-04,46.7697222,-92.0905556,USGS-464611092052601,USGS-MN,,,,,185.2,8.38,22.84,9.3,,,,10.5,,,,,,,,,,,,,,,,,,,
2010-08-04,46.77388889,-92.1061111,USGS-464626092062201,USGS-MN,,,,,155,7.775,18.900000000000002,8.6875,,,,6.6000000000000005,,,,,,,,,,,,,,,,,,,
2010-08-04,46.7747222,-92.0938889,USGS-464629092053801,USGS-MN,,,,,166.375,7.9625,21.1375,8.3875,,,,9.200000000000001,,,,,,,,,,,,,,,,,,,
