Date,Lat,Lon,Location,Region,Spatial extent,Surface water conditions,Weather conditions,Air temp,Water temp,Sample collection method,Verification status,Dominant cyanobacterial species,Additional cyanobacterial species present,Additional abundant phytoplankton species present,cells/mL,NU/mL,Relative Abundance (%),Cyanotoxin presence,Microcystin,Anatoxin -a,Saxitoxin,Cylindrospermopsin,"Other Toxins/Metabolites  (enter toxin/metabolite, value, and units)",Additional comments on taxonomy/toxins
2012-07-14,46.883583,-91.04902,Lake Superior shoreline/nearshore environment,"Lake Superior South Shore Western Arm; Apostle Islands; Cornucopia, WI",> Football field,Calm,Clear,,,Surface grab,Verified via microscopic enumeration of cyanobacteria and/or presence of cyanotoxins,Dolichospermum sp,,,,,,Yes,,,,,,"Microcystin <10 ug/L in all samples, Dolichospermum lemmermannii"
2016-08-31,46.903478,-91.032777,Lake Superior shoreline/nearshore environment,Lake Superior South Shore Western Arm; Apostle Islands,> Football field,Calm,Partly cloudy,,,Surface grab,Verified via basic microscopic verification of cyanobacterial dominance,Dolichospermum sp,,Mixed diatoms,,,,Unknown/Not tested,,,,,,Dolichospermum lemmermannii
2017-07-11,46.8763623,-91.1884869,Lake Superior shoreline/nearshore environment,"Lake Superior South Shore Western Arm; Cornucopia, WI",Car,,Partly cloudy,,,Net tow,Verified via basic microscopic verification of cyanobacterial dominance,Dolichospermum sp,,Mixed diatoms,,,,Unknown/Not tested,,,,,,Dolichospermum lemmermannii
2017-08-09,46.903478,-91.032777,Lake Superior shoreline/nearshore environment,Lake Superior South Shore Western Arm; Apostle Islands,Tennis court-football field,,,,,Surface grab,Verified via basic microscopic verification of cyanobacterial dominance,Dolichospermum sp,,,,,,No,,,,,,Dolichospermum lemmermannii
2018-08-09,46.883779,-91.049028,Lake Superior shoreline/nearshore environment,"Lake Superior South Shore Western Arm; Apostle Islands; Cornucopia, WI",> Football field,Calm,Clear,,,Surface grab,Verified via basic microscopic verification of cyanobacterial dominance,Dolichospermum sp,,,,,,Unknown/Not tested,,,,,"Anabaenopeptin-a, 0.068 ug/L",Dolichospermum lemmermannii
2018-08-09,46.859937,-91.099254,Lake Superior shoreline/nearshore environment,"Lake Superior South Shore Western Arm; Cornucopia, WI",> Football field,Calm,Clear,,,Surface grab,Verified via basic microscopic verification of cyanobacterial dominance,Dolichospermum sp,,,,,,No,,,,,"Anabaenopeptin-a detected, 0.357 ug/L",Dolichospermum lemmermannii
2018-08-09,46.844061,-91.172835,Lake Superior shoreline/nearshore environment,"Lake Superior South Shore Western Arm; Cornucopia, WI",> Football field,Calm,Clear,,,Surface grab,Suspected based on field observations but unconfirmed via field photos or lab analysis,,,,,,,Unknown/Not tested,,,,,,
2018-08-10,46.8858,-91.0525,Lake Superior shoreline/nearshore environment,"Lake Superior South Shore Western Arm; Apostle Islands; Cornucopia, WI",> Football field,Calm,Clear,,18,Surface grab,"Suspected based on field photos or expert field observation, but not otherwise verified",,,,,,,No,,,,,,
2018-08-12,46.860238,-91.136047,Lake Superior shoreline/nearshore environment,"Lake Superior South Shore Western Arm; Cornucopia, WI",> Football field,,,,,No sample collected,"Suspected based on field photos or expert field observation, but not otherwise verified",,,,,,,Unknown/Not tested,,,,,,
2018-08-12,46.749741,-90.803304,Lake Superior shoreline/nearshore environment,Lake Superior South Shore Western Arm; Apostle Islands,Tennis court-football field,Calm,Clear,,,Net tow,Verified via basic microscopic verification of cyanobacterial dominance,Dolichospermum sp,,,,,,Unknown/Not tested,,,,,,
